date,final_equity,effective_equity,exposure
2009-11-30,1.0,1.0,1.0
2009-12-31,0.9290021143615996,0.9290021143615996,1.0
2010-03-31,0.9982879864877529,0.9982879864877529,1.0
2010-04-30,0.9522551171655708,0.9522551171655708,1.0
2010-06-30,0.9416401316421952,0.9416401316421952,1.0
2010-08-31,1.0200037377721352,1.0200037377721352,1.0
2010-09-30,1.057611507071919,1.057611507071919,1.0
2010-11-30,1.112774309567949,1.112774309567949,1.0
2010-12-31,1.1575654266619944,1.1575654266619944,1.0
2011-01-31,1.2041531661057578,1.2041531661057578,1.0
2011-02-28,1.2090389062304103,1.2090389062304103,1.0
2011-03-31,1.2549431497607515,1.2549431497607515,1.0
2011-05-31,1.2018614929113325,1.2018614929113325,1.0
2011-06-30,1.2075925745881355,1.2075925745881355,1.0
2011-08-31,1.0606183913512277,1.0606183913512277,1.0
2011-09-30,1.1400230530131572,1.1400230530131572,1.0
2011-10-31,1.1232389710772406,1.1232389710772406,1.0
2011-11-30,1.1314065643834692,1.1314065643834692,1.0
2012-01-31,1.2126569039895585,1.2126569039895585,1.0
2012-02-29,1.262738825173911,1.262738825173911,1.0
2012-04-30,1.1791442121705538,1.1791442121705538,1.0
2012-05-31,1.2264072831051611,1.2264072831051611,1.0
2012-07-31,1.2619671985507996,1.2619671985507996,1.0
2012-08-31,1.2836482117822552,1.2836482117822552,1.0
2012-10-31,1.2961787627475183,1.2961787627475183,1.0
2012-11-30,1.3263943475953093,1.3263943475953093,1.0
2012-12-31,1.4284095699007933,1.4284095699007933,1.0
2013-01-31,1.434203284317492,1.434203284317492,1.0
2013-02-28,1.470777297432903,1.470777297432903,1.0
2013-04-30,1.6812790964246165,1.6812790964246165,1.0
2013-05-31,1.672811849928722,1.672811849928722,1.0
2013-07-31,1.7885146092204345,1.7885146092204345,1.0
2013-09-30,1.8849186019431647,1.8849186019431647,1.0
2013-10-31,1.9396493357294224,1.9396493357294224,1.0
2013-12-31,2.014286653728586,2.014286653728586,1.0
2014-01-31,2.1845575326670947,2.1845575326670947,1.0
2014-02-28,2.130622696264704,2.130622696264704,1.0
2014-03-31,2.112576482134694,2.112576482134694,1.0
2014-04-30,2.2052822169403634,2.2052822169403634,1.0
2014-06-30,2.2554349142792454,2.2554349142792454,1.0
2014-07-31,2.406578981732612,2.406578981732612,1.0
2014-09-30,2.40383438447249,2.40383438447249,1.0
2014-10-31,2.4961424606085783,2.4961424606085783,1.0
2014-12-31,2.4243394458816527,2.4243394458816527,1.0
2015-03-31,2.52983290171947,2.52983290171947,1.0
2015-04-30,2.670537429445397,2.670537429445397,1.0
2015-06-30,2.69565919580911,2.69565919580911,1.0
2015-07-31,2.577494959473548,2.577494959473548,1.0
2015-08-31,2.5276279907012245,2.5276279907012245,1.0
2015-09-30,2.7099514981198656,2.7099514981198656,1.0
2015-11-30,2.747937648255078,2.747937648255078,1.0
2015-12-31,2.5732974177629755,2.5732974177629755,1.0
2016-02-29,2.73559673171985,2.73559673171985,1.0
2016-03-31,2.7388282944219062,2.7388282944219062,1.0
2016-05-31,2.8613310002978176,2.8613310002978176,1.0
2016-06-30,3.0693473669267277,3.0693473669267277,1.0
2016-08-31,3.145967196616134,3.145967196616134,1.0
2016-09-30,3.151537392193412,3.151537392193412,1.0
2016-10-31,3.32210429038891,3.32210429038891,1.0
2016-11-30,3.490484533519677,3.490484533519677,1.0
2017-01-31,3.7333705374912234,3.7333705374912234,1.0
2017-02-28,3.80966394816054,3.80966394816054,1.0
2017-03-31,3.810993430749269,3.810993430749269,1.0
2017-05-31,3.9039464469038463,3.9039464469038463,1.0
2017-06-30,4.054255927337445,4.054255927337445,1.0
2017-07-31,4.127673726427904,4.127673726427904,1.0
2017-08-31,4.259906287119222,4.259906287119222,1.0
2017-10-31,4.515668077554192,4.515668077554192,1.0
2017-11-30,4.507940381790899,4.507940381790899,1.0
2018-01-31,4.775652791950698,4.775652791950698,1.0
2018-02-28,4.671953826636924,4.671953826636924,1.0
2018-04-30,4.913129311153829,4.913129311153829,1.0
2018-05-31,4.932563915672688,4.932563915672688,1.0
2018-07-31,5.182232993552311,5.182232993552311,1.0
2018-08-31,5.204660799491857,5.204660799491857,1.0
2018-10-31,4.923342157199672,4.923342157199672,1.0
2018-11-30,4.594559769212821,4.594559769212821,1.0
2018-12-31,4.960136254870363,4.960136254870363,1.0
2019-01-31,5.04449913784148,5.04449913784148,1.0
2019-02-28,5.184164731787147,5.184164731787147,1.0
2019-04-30,4.987332975794716,4.987332975794716,1.0
2019-05-31,5.311722104891131,5.311722104891131,1.0
2019-07-31,5.364642425089296,5.364642425089296,1.0
2019-09-30,5.5666039637192375,5.5666039637192375,1.0
2019-10-31,5.78005275708884,5.78005275708884,1.0
2019-12-31,6.0526068520684255,6.0526068520684255,1.0
2020-01-31,5.75729840206844,5.75729840206844,1.0
2020-03-31,6.1050494748375455,6.1050494748375455,1.0
2020-04-30,6.389363851739252,6.389363851739252,1.0
2020-06-30,7.085414705124555,7.085414705124555,1.0
2020-07-31,7.868739271310005,7.868739271310005,1.0
2020-08-31,7.571234269411815,7.571234269411815,1.0
2020-09-30,7.397811322971441,7.397811322971441,1.0
2020-11-30,8.248217564639916,8.248217564639916,1.0
2020-12-31,8.308152996532483,8.308152996532483,1.0
2021-03-31,8.727713924524597,8.727713924524597,1.0
2021-04-30,8.77514268469157,8.77514268469157,1.0
2021-06-30,9.054138909989582,9.054138909989582,1.0
2021-08-31,8.911422322981158,8.911422322981158,1.0
2021-09-30,9.651633496605823,9.651633496605823,1.0
2021-11-30,9.839368379733674,9.839368379733674,1.0
2021-12-31,9.171026648139218,9.171026648139218,1.0
2022-01-31,9.033973071078195,9.033973071078195,1.0
2022-02-28,9.342389068960816,9.342389068960816,1.0
2022-03-31,8.394474208737938,8.394474208737938,1.0
2022-05-31,7.985014179052684,7.985014179052684,1.0
2022-06-30,8.663193232475411,8.663193232475411,1.0
2022-08-31,7.938700584892264,7.938700584892264,1.0
2022-09-30,8.459990337343646,8.459990337343646,1.0
2022-10-31,8.836203845409722,8.836203845409722,1.0
2022-11-30,8.444964791489886,8.444964791489886,1.0
2023-01-31,8.603693875631782,8.603693875631782,1.0
2023-02-28,8.83465115425063,8.83465115425063,1.0
2023-03-31,8.925477958873039,8.925477958873039,1.0
2023-05-31,9.618854531840276,9.618854531840276,1.0
2023-06-30,9.980184262345585,9.980184262345585,1.0
2023-07-31,9.818035824031131,9.818035824031131,1.0
2023-08-31,9.353613229995092,9.353613229995092,1.0
2023-10-31,10.14797882046952,10.14797882046952,1.0
2023-11-30,10.820724295555427,10.820724295555427,1.0
2024-01-31,12.009760211485238,12.009760211485238,1.0
2024-02-29,12.475271593508584,12.475271593508584,1.0
2024-04-30,13.023218340635824,13.023218340635824,1.0
2024-05-31,13.533037287896455,13.533037287896455,1.0
2024-07-31,13.460549545244374,13.460549545244374,1.0
2024-09-30,13.682624514142187,13.682624514142187,1.0
2024-10-31,14.550224349766385,14.550224349766385,1.0
2024-12-31,14.988732235067364,14.988732235067364,1.0
2025-01-31,14.390350990312944,14.390350990312944,1.0
2025-02-28,13.451947269303757,13.451947269303757,1.0
2025-03-31,13.65899012305201,13.65899012305201,1.0
2025-04-30,14.742584699721249,14.742584699721249,1.0
2025-06-30,15.291269561003835,15.291269561003835,1.0
2025-07-31,15.74568393709354,15.74568393709354,1.0
2025-09-30,17.37643837198614,17.37643837198614,1.0
2025-10-31,17.472645072444422,17.472645072444422,1.0
2025-12-31,18.02540172101993,18.02540172101993,1.0
